apt_code,category,review
1Xyb5,5,가까운 지하철역올림픽 공원롯데월드몰 등.. 삶의 만족도가 너무 높았던 집입니다
1Xyb5,5,"올림픽공원, 석촌호수, 한강 모두 가깝고롯데타워도 가까워요"
1Xyb5,6,학군은 말할것도 없고 누가 살던 최고인듯합니다.
1Xyb5,5,교통도 편하고 주변에 시설이 많아 살기 좋습니다
1Xyb5,1,올림픽공원 가깝고 내부 조경및 놀이터가 좋아서 아이들이 살기좋음
1Xyb5,5,"지하철역하고 가깝고, 유해시설이 없는게 너무좋네요"
1Xyb5,4,"병원, 지하철, 잠실 쇼핑몰 가까운 편이라 좋았습니다"
1Xyb5,4,역 가깝고 병원 공원 백화점 등등 인프라가 잘 되어있어요.
1Xyb5,6,단지 학군 교통 최고입니다
1Xyb5,6,여자 고등학교가 없어서 아쉽네요
1Xyb5,1,윗집만 잘 만나고 화장실 문만 잘 닫는다면 완벽합니다
1Xyb5,5,2호선과 가깝고 조용하고 이만큼 살기 좋은 아파트가 있을까 싶네요.
1Xyb5,5,그리고 잠실역에 상권까지 이용 할 수 있다는 것도 장점입니다.
1Xyb5,1,"단지내 조경도 너무 좋고 한강, 올림픽공원을 걸어서 갈 수 있는 것 또한 큰 매력입니다"
1Xyb5,7,"단점으로는 엘베수리와 층간소음, 1층 거주시 베란다 하수구 역류합니다."
1Xyb5,1,윗집에서 세탁기를 두면 안되는 곳에 두어서 물이 역류할때가 있는데 관리실에서 제대로된 해결방법이 없기에 만약 하수구 역류로 물건 피해를 입으시면 관리실에 피해보상액을 꼭 받으세요
1Xyb5,1,"집안에서 담배를 피우는 예의없는 행동 등이 있습니다.."
1Xyb5,6,초등학교는 두개가 있으나 중학교가 없어서 다른 곳으로 전학가는 아이들도 많습니다
1Xyb5,0,주차공간은 넓어서 좋습니다사람들이 만들어 내는 피해 빼고는 정말 강추하고픈 아파트입니다
1Xyb5,5,"2호선 잠실나루역 / 8호선 몽촌토성역 지척. 단지 내 잠현초, 잠실초, 잠실고 위치. 한강시민공원과 올림픽공원 근접. 단지 전체가 공원 분위기."
1Xyb5,0,주차 간격도 정말 넓어요.
1Xyb5,0,주차는 지하 2층까지 널널합니다.
1Xyb5,2,헬스 골프 놀이방 키즈문화센타 농구 테니스 등등 커뮤니티 시설도 팍이 가장 잘 되었어요.
1Xyb5,2,"피트니스, 골프, GX, 어린이 스포츠 등 1,2단지 각각 있어요."
1Xyb5,2,"헬스,골프,필라,테니스와 아이들 농구,인라인 등등 커뮤니티 시설도 잘되 이써요"
1Xyb5,3,102동은 지하철 소음 절대 안들릴 위치예요
1Xyb5,3,229동 308동 사이 북몬 택시 못들어오게 막습니다.
1Xyb5,3,310동 중층의 경우에 여름같은 경우는 아무래도 문을 열면 소음이 좀 있습니다.
1Xyb5,4,"주변 시설(한강, 올림픽공원, 롯데몰, 석촌호수 등)에 감탄합니다."
1Xyb5,7,윗집 옆집 소음은 거의 안들리는편인듯합니다.
1Xyb5,7,신축 아파트에 비해 천장 층고가 낮아 층간소음이 심함.
