apt_code,category,review
aYO6d,2,"주변에 수영장, 학교 등 진짜 많습니다"
aYO6d,1,녹지가 많아서 산책하기 좋고 운동시설도 주변에 많아서 건강해지는 느낌입니다.
aYO6d,5,9호선만 빨리 개통된다면 최고일듯합니다!
aYO6d,6,대단지 및 학교가 잘배치되어 있어 교육 환경이 좋습니다
aYO6d,2,단지가 쾌적하고 커뮤니티가 잘되어 있어 거주하기 편합니다.
aYO6d,4,상가도 편리하고 아이들 키우기 좋은 동네에요.
aYO6d,1,남쪽동들이 층수가 높아서 가려지는 뒷동은 겨울에는 고층치고는 햇볕이 덜 들어오는 면이 있어요.
aYO6d,2,서울의 주요 회사나 상권과는 거리가 조금 있지만 단지 자체 커뮤니티가 잘 조성되어 있고 조용한 동네라한적한 거 좋아하면 살기 좋은 듯합니다
aYO6d,1,신축이며 관리가 잘 되어 살기 좋는 단지입니다.
aYO6d,2,"커뮤니티 센터의 스포츠 프로그램 및 온조대왕 체육관, 도서관이 이용하기 편합니다."
aYO6d,1,주변에 산책로와 근린공원이 많아서 더욱 쾌적합니다
aYO6d,0,장마철 비 많이 와도 비 안맞고지하주차장 통해 이동가능한 점이 넘 좋아요
aYO6d,1,"주변에 공원, 녹지도 많고 교통도 괜찮은 편입니다."
aYO6d,6,특히 초등자녀 있으면 학교도 가깝고 학원도 밀집해 있어 교육환경이 너무 만족스럽습니다.
aYO6d,2,커뮤니티도 공기도 쟈철도 모두 만족스럽습니다
aYO6d,6,대치동 학원가도 15분컷이고 집앞에 바로 대모산의 대자연이 펼쳐지고 도심속 자연이더군요
aYO6d,1,동네가 유럽 느낌에 고급 리조트같은 아파트단지조경과구성에 반해서 갑니다
aYO6d,5,지하철역 바로 옆이라 출퇴근도 편하고저녁이나 주말에 고덕천으로 운동하기도 좋아요
aYO6d,2,커뮤니티 잘 형성 되어 있고 살기 좋았습니다..
aYO6d,5,교통편도 좋았습니다.
aYO6d,4,상가 및 지하철이 지하로 모두 연결되어있어서 편리함.
aYO6d,4,아파트 내 행사가 주말에 종종 열리고 아이들이 많아서 활기있는 느낌입니다.
aYO6d,0,지하3층까지 있어서 널널합니다.
aYO6d,0,지하상가와 주차장이 바로 연결되어 있어서 좋아요.
aYO6d,3,101동 기준 거실에서 외부를 보면 탁 트여서 좋습니다.
aYO6d,3,118동 앞에 조형물이 있어서 밤에 보면 좋아요.
aYO6d,3,101동~139동까지 지하주차장 2층과 연결되어 있습니다.
aYO6d,7,초이동 군부대에 헬기장이 있어서 단지 위로 지나갈 때 많이 시끄럽더라구요.
aYO6d,7,위아래집 소음이 거의 없어서 위아래 사람이 안사나 싶을 정도 입니다
aYO6d,7,여태껏 살아본 아파트 중층간소음이 가장 적습니다
