apt_code,category,review
9YO50,1,대단지라 상대적으로 관리비가 싸고 애들이 많아서 분위기가 좋음.
9YO50,2,단지내 시설도 나쁘지 않고 산책하기 좋음
9YO50,2,앞에수영장및헬스장 좋은거있고 지하철역도 가까움
9YO50,4,홍대신촌공덕다가깝고 다만 시장이 죽어감..
9YO50,1,입지가 좋아요
9YO50,5,여의도 접근성 좋고 어디든 가까워서 살기 편합니다
9YO50,1,아이키우기 너무좋습니다
9YO50,2,"대단지라 셔틀 다 오고, 커뮤니티잘 되어잇어요"
9YO50,5,"1단지는 아현역, 2단지는 애오개역과 가까움3, 4단지는 조용함3,4단지는 언덕이라 불편할 수 있음단지는 넓고 관리 잘 되고 있음"
9YO50,4,"동네 산책하기 좋고 화요일 장서는것도 좋고, 학교도 주변에 있어 좋습니다."
9YO50,5,더블역세권 말할것도 없구요.
9YO50,1,대형단지답게 편의시설 좋고 단지 내가 넓고 쾌적해서 좋습니다.
9YO50,2,"최신 신축 아파트 만큼은 아니지만 커뮤니티 시설도 잘되어있고, 아현역 애오개역 전부 가깝고 전반적으로 편안하게 지내기 좋습니다."
9YO50,7,다만 저희집만 그럴 수도 있는데 층간소음이 살짝 느껴질 때도 있고 자재 마감이 미흡한 부분들이 사소하게 있습니다.
9YO50,2,언덕이 너무 헬 이에요정문이 헬게 오픈의 느낌커뮤니티가 특정 단지에 쏠려 있는 감이라 멀면 언덕을 오르락내리락하는게불편해요
9YO50,1,단지 사이사이 엘베들 동선이불편해서오래못살고 바꿨어요
9YO50,1,아이 있는 집에서 키우기 정말 좋은 집이에요.
9YO50,5,교통도 편하고 서울 어디든 1시간 거리로 갈 수 있어요.
9YO50,5,요즘 같이 날씨 더운 날에 마포에 모든 대형학원들 셔틀버스들이 다 다녀서 새삼 편리함이 더 느껴지네요.
9YO50,4,"상가에서 병원, 마트, 반찬, 과일, 디저트까지 모두 해결되니 밖에 나갈 일 없는 것도 그렇고요. (경의선숲길 산책하러 가는 일을 빼면 공덕역까지 나갈 일도 거의 없다는 사실...)"
9YO50,5,"2호선, 5호선 더블역세권이고 대단지 아파트이다보니 오래 살수록 만족도가 높게 유지되는 것 같습니다."
9YO50,1,4단지 가봤는데 조경이 신축들보다 훨씬 예뻐서 깜짝놀랐어요.
9YO50,1,도심속에 요새같은?? 동간격도 넓고 분위기가 너무 좋더라구요
9YO50,1,아기있는집이 살기 정말 좋아요
9YO50,0,주차로 불편한 적 없고 출퇴근 편해서 아주 만족합니다.
9YO50,0,주차는 들어온 층에 자리 없다면 한층위 혹은 아래에서 100프로 다 해결됩니다.
9YO50,0,언제 귀가해도 주차자리 항상 널널합니다~
9YO50,3,401-404동 라인은 출입구 반경 10미터에 주차 공간이 남아돕니다.
9YO50,3,209동~211동 단지는 2단지~4단지 사이에 나있는 도로 소음이 있을 것 같습니다.
9YO50,3,1단지는 위치에 따라서 이편한세상 신촌의 진로마트(중형 식자재마트)가 더 가까울 수도 있습니다.
9YO50,6,한서초등학교가 근처에 있습니다.
9YO50,6,"고등학교는 한성고, 숭문고, 서울여고가 있습니다."
9YO50,6,한서초에 대부분 배정되는 분위기예요.
9YO50,7,동네 조용하고 층간소음 없어요.
9YO50,7,분명한건 전국구인 잠실보다는 공법상 층간소음 덜합니다.
