apt_code,category,review
9YLdc,2,1-5단지별로 커뮤니티시설은 각자 따로 이용가능합니다
9YLdc,2,호갱노노 단지설명은 1단지인 것 같아 헷갈리네요. 수영장은 1단지만 사용가능합니다
9YLdc,1,봄에 벚꽃이 예쁘게 피는 단지입니다~~!걷기 좋습니다
9YLdc,0,"산책코스 많아요! 단지 내 조경, 가재울중앙공원, 홍제천, 상암월드컵공원, 안산둘레길, 불광천 등지하주차장 쾌적하며, 저녁에 거실창을 열고자도 정말 조용합니다"
9YLdc,5,"가좌역에서 1정거장 홍대, 3정거장 공덕, 5정거장 용산!버스중앙차로로 홍대,연남,신촌,이대,서대문,광화문,종로도 금방이구요!"
9YLdc,5,교통을 제외한 많은 부분은 거주하기에너무 좋습니다
9YLdc,4,주변 상권도 좋고 특히 단지내 환경이너무 좋습니다
9YLdc,5,약 3년 정도 거주하고 있는데 대중교통이 제일크게 아쉬운 부분이네요
9YLdc,1,이렇게 평지로 잘 되어있고 단지 주변 유해시설도 없고 미취학 아동 키우기 너무 좋은 환경의 아파트에요
9YLdc,2,조경이 너무 멋지고 커뮤니티 시설이 잘 운영돼요.
9YLdc,2,그리고 테라스에서 제공되는 주민전용 커피 디저트 맛 너무좋아요
9YLdc,1,아이키우기 좋고 역세권에 홍제천 산책까지 모든걸 다갖춘 단지네요
9YLdc,2,아이들 키우기 좋아요 커뮤니티이용하기도 좋아요
9YLdc,6,아이 키우기 좋은 동네같아요 아이들이 엄청 많네요
9YLdc,1,단지가 말 그대로 공원같아서 사계절 내내 아름다워요.
9YLdc,2,단지 내에 놀이터도 많고 어른들 휴식할 수 있는 공간도 많고 커뮤니티센터에 수영장 있는 건 진짜 최고 같아요.
9YLdc,5,아이들키우기 참 좋아요.지하철이 아쉽지만 버스가 많아서 괜찮습니다
9YLdc,2,"바로 인근의 홍제천, 수영장 갖춘 커뮤니티시설, 조경이 잘 된 평지의 단지... 살수록 편리함을 느끼는 곳입니다."
9YLdc,5,버스노선 많고 인근 가좌역있지만 서부선 들어서면 더 편리하겠어요
9YLdc,1,단지가 넖고 평지에 아이키우기 좋은것같아요
9YLdc,5,상암 출퇴근 최고!서울 시내도 가깝고 진짜 최고에요
9YLdc,1,살기좋아요 대단지가 엄청 커서 산책길도 잘 되어있고 조용합니다.
9YLdc,0,"주차대수 널널, 광폭주차공간입니다"
9YLdc,0,"대단지 장점, 초품아, 주차장 간격 넓어서 너무 만족스러워요"
9YLdc,0,주차가 매우 편해서 주차스트레스가 없는것도 큰 장점이에오
9YLdc,3,"1,2단지가 메인단지라서 가격도 좀 높아요"
9YLdc,3,"독서실, 사우나, 헬스장 있는데 수영장은 1단지에만 있어서 1단지 가서 이용해요"
9YLdc,3,앗! 카페도 1단지만 있어요.
9YLdc,4,2단지 별동 상가쪽은 스타벅스부터 상가도 탄탄하게 정리되어 실거주 만족도는 최고에요
9YLdc,4,시간이 갈 수록 편의시설들이 들어오고 살기 편해지는 것 같아요
9YLdc,4,"이마트 에브리데이, 미용실, 피트니스 등등 있고 가좌역에서 가까워서 살기 편합니다."
9YLdc,6,"학원은 지속 늘어나는 중이라 크게 불편한 점은 없고, 성당/동사무소/커뮤니티/초등학교/중학교 등 대부분 인프라 잘 갖춰져 괜찮아요"
9YLdc,6,초품이라서 아이들과 살기 넘 좋은 곳입니다
9YLdc,7,"가끔 조용한 밤에 윗집 티비소리 들리거니, 화장실 환풍구로 옆집인지 위아래집인지 대화하는 미세한 소리 들리는거 빼고 조아요"
9YLdc,7,요즘 내부순환로 소음이 확 줄기는 했어요
9YLdc,7,내부순환로 소음 심했습니다
