apt_code,category,review
aQr4c,1,강북권 최고의 아파트입니다.
aQr4c,5,"역세권, 주변환경, 관리등 살기좋습니다."
aQr4c,7,약간의 소음 빼곤 지하철 가깝고 내부도 옆이라 살기 좋았습니다
aQr4c,1,로얄동에 거주하고 있습니다.
aQr4c,2,동건물에 커뮤니티센터와 카페가 있어 편리합니다.
aQr4c,1,단지 안 조경이 좋아서 산책하기 좋아요.
aQr4c,1,방범을 위해 보완관분이 밤까지 순찰해주십니다.
aQr4c,6,단지 내 어린이집이 있어 아이들 키우기 좋습니다.
aQr4c,0,"지하주차장과 상가가 이어져있어, 비오거나 추울때 편리합니다."
aQr4c,4,현대백화점이 가까이 있어 좋습니다.
aQr4c,5,역세권이라 너무 좋아요.
aQr4c,1,단지도 관리가 잘되고 특히 봄에 젤 예뻐요.
aQr4c,7,"단점은 층간소음이랑개념없는 사람들(단지 내 흡연, 쓰레기 창문 밖으로 버리기 등)이 종종 있어요."
aQr4c,1,동네는 별로였지만 아파트 자체는 참 좋은 곳이었습니다
aQr4c,4,"아파트 단지 조경도 예쁘고 주변에 이마트, 백화점 등 편의시설이 많아 살기 좋아요."
aQr4c,7,층간소음은 조금 있어요.
aQr4c,1,센터피스 만의 장점. 성북구에서 유일하게 조식 나오는 아파트
aQr4c,4,카페에서 먹거나 포장도 되는데 개인적으로 너무 만족하며 이용합니다.
aQr4c,1,가성비 정말 훌륭해요~!! 오늘도 조식을 맛있게 먹고 아파트 단지를 산책합니다
aQr4c,2,커뮤니티 너무 잘되어있고 역도 가까워요
aQr4c,4,미아사거리역 가깝고 주변 백화점 이마트 등 편의시설도 가깝습니다
aQr4c,0,조경도 잘해두고 주차장 자리도 널널해서 좋습니다
aQr4c,4,미아사거리역 주변으로 교통이 양호한 편이고 현대백화점 및 이마트가 가까이있습니다
aQr4c,1,조식 나오는 아파트입니다
aQr4c,2,골프장 헬스장 탁구장등 커뮤니티 시설도 잘 되어 있습니다.
aQr4c,5,미아사거리역 역세권이라 매우 편리합니다.
aQr4c,4,현대백화점 롯데백화점 이마트 등 상권도 좋습니다.
aQr4c,1,단지내 조경이 잘 되어 있어서 단지안에 산책하기 좋습니다.
aQr4c,4,이마트가 가까워서 동네 슈퍼마켓 가듯이 다닐 수 있어서 편합니다.
aQr4c,4,"지하철, 마트, 백화점, 영화관, 쇼핑몰이랑 여러 음식점들 다 걸어서 갈수 있어 좋아요"
aQr4c,1,단지내 걷다보면 꽃나무 향기도 너무 좋고 이사온지 얼마 안되었는데 단지랑 동네구경이 쏠쏠하네요
aQr4c,7,너무 살기 좋아요~~층간소음도 없고 조용하고 벌레도 없고 최고입니다
aQr4c,0,신축이라 주차 깨끗 편리합니다
aQr4c,3,101동~114동 지하 2층~3층 주차장입니다
aQr4c,3,115동~121동 지하 1층~3층 주차장입니다
aQr4c,3,"102동 기준, 현대백화점이 현관문 기준 3분, 이마트가 5분, 롯데백화점이 10분, 전철역(미아사거리) 7~8분이에요"
aQr4c,6,"근처 초등학교, 중학교 없습니다"
aQr4c,6,학원도 단지 내 상가만 있는 정도입니다
