apt_code,category,review
b5y9a,1,평면은 전형적인 3베이지만 조경이나 커뮤니티가 좋습니다
b5y9a,5,"전철역가깝고,쾌적하고,아이키우며 살기좋습니다~"
b5y9a,2,"GX커뮤니티,사우나도 좋구요."
b5y9a,1,주변에 부담없이 다닐 수있는 산과 고덕천 환경이 너무좋습니다
b5y9a,4,재건축지역이라 상대적으로 상가와 인접한 상업지역이 부족한 것이 아쉽네요
b5y9a,1,별동 좋아요~바로 뒤 근린공원 맨발 걷기도 좋구요~
b5y9a,1,발도 씻을 수 있고최근 가로등도 설치해서 안전해졌답니다~
b5y9a,1,아르테온 티하우스 아.랑.재에서 커피 마셨습니다싸고 맛있네요
b5y9a,2,요즘 커뮤니티 활성화로 아르테온 실거주 만족스럽습니다
b5y9a,1,올해 물놀이터 정말 쾌적하게 잘 사용했어요.
b5y9a,6,애 키우기 좋은 초품아에요
b5y9a,1,"9/1부터 아르테온에건강식 조식배달, 호텔식 하우스키핑, 홈케어, 정리수납, 이사청소 및 컨설팅, 셀프세탁실, 돌봄서비스 등 고품격 컨시어지 서비스가 시행됩니다."
b5y9a,1,"동간 간격이 넓고 저층동, 고층동이 잘 분배되어서 단지 어디를 산책해도 쾌적해서 좋아요"
b5y9a,1,엄마집인데 살기 좋고 앞에 워터파크있어요
b5y9a,0,주차 진짜 최악임..밤 10시 넘어서는 주차자리 없음30분 돌고돌아 앞뒤 3동 건너 까지 봐도 없음매일매일이 주차 스트레스에요
b5y9a,5,살기좋고 역가깝고 애키우기 좋은동네입니다!
b5y9a,2,커뮤니티시설이 아직까지 안들어온게 제일 불편하다면 불편하지만 그 외적으로는 다 좋아요
b5y9a,2,커뮤니티 좋고 단지 조경도 좋아요
b5y9a,5,상일역도 바로 근처에 있어서 교통도 너무 편리합니다
b5y9a,5,차로 외곽 나가기도 접근성이 좋아요
b5y9a,2,커뮤니티 컨텐츠도 참 좋아요.
b5y9a,0,저녁에 주차장이 빌라촌인줄 알았어요 주차할데가 없는지 주차 구역 아닌곳에 다 주차되있음 혼잡합니다
b5y9a,0,주차공간 넓어서 좋아요
b5y9a,3,339동이나 338동 같은 곳 숲뷰는 정말 이쁠 것 같아요!
b5y9a,3,"동간 간격이 넓고 저층동, 고층동이 잘 분배되어서 단지 어디를 산책해도 쾌적해서 좋아요"
b5y9a,3,301동 건너편에 따릉이있어서 고덕천으로 자전거타러가기 좋아요
b5y9a,4,다만 주변 상가가 너무 없다는게 좀 아쉬워요
b5y9a,4,상가 구성이 조금 아쉽습니다
b5y9a,6,초중고들이 가까워서 아이들 키우기에는 좋아요.
b5y9a,6,고덕역은 이미 최대 학원가가 밀접한 곳 중 하나입니다
b5y9a,7,도로 소음 차단을 위해 방음벽도 설치되어 있구요.
b5y9a,7,생각보다 조용한 듯 해요.
b5y9a,7,25평은 단지 둘레쪽에 위치해 있어서 소음은 무조건 안고가야합니다

