apt_code,apt_sq,avg_price,top_avg_price,bottom_avg_price,recent_avg,recent_top,recent_bottom,trade_trend,price_trend
aYO6d,25,아파트의 평균 가격은 12억 3475만원입니다.,아파트의 상위 30% 층의 평균 가격은 12억 8500만원입니다.,아파트의 하위 30% 층의 평균 가격은 12억 3456만원입니다.,가장 최근 거래 가격은 평균 가격보다 약 475 만원 낮습니다.,가장 높은 가격은 15억 3000 만원입니다. 가장 높은 가격과 가장 최근 가격의 차이는 3억 원입니다. 가장 최근 가격 대비 가장 높은 가격의 비율은 0.804입니다.,최저 가격은 9억3000 만원이고 가장 최신 거래 가격은 12억3000 만원 입니다. 이는 최저 가격에 비해 약 1.32배 높습니다.,전체적으로 거래량은 증가하는 추세를 보이고 있습니다. 특히 최근에는 거래량이 더욱 증가하고 있습니다.,최근 가격은 하락하고 있습니다.
aYO6d,30,아파트의 평균 가격은 14억31 만원입니다.,아파트의 상위 30% 층의 평균 가격은 14억 5000만원입니다.,아파트의 하위 30% 층의 평균 가격은 14억 2000만원입니다.,최근 거래 가격은 평균 가격보다 약 4968 만원 더 높습니다. 이는 평균 가격 대비 약 103.5%입니다.,최고 가격은 16억 6000만원이고 가장 최근 거래 가격은 14억 5000만원입니다. 최근 거래 가격은 최고 가격에 비해 2억 1000만원 낮습니다. 또한 최근 거래 가격은 최고 가격의 약 87.3%입니다.,최소 가격은 11억 7000만원입니다. 가장 최근 가격은 14억 5000만원으로 최소 가격보다 2억 8000만원 높습니다. 가장 최근 가격은 최소 가격의 약 1.24배입니다.,최근 거래량은 4로 전체 거래량의 평균인 3.22보다 높으므로 최근 거래량이 증가하고 있습니다.,최근 가격은 상승했습니다. 가장 최근 가격이 14억 5000 만원이고 이전 가격은 14억 원입니다.
aYO6d,34,아파트의 평균 가격은 16억 1253만원입니다.,아파트의 상위 30% 층의 평균 가격은 약 16억 6166만원입니다.,아파트의 하위 30% 층의 평균 가격은 16억 1750만원입니다.,"가장 최근 거래 가격은 평균 가격보다 약 4746 만원 더 높습니다. 가장 최근 거래 가격이 평균 가격보다 약 3% 더 높습니다.",최고 가격은 19억 원입니다. 가장 최근 거래 가격은 최고 가격보다 2억 4000만원 낮습니다. 가장 최근 거래 가격은 최고 가격의 약 0.874입니다.,최저 가격은 12억 2500만원이고 가장 최근 거래 가격은 16억 6000만원입니다. 최신 거래 가격은 최저 가격보다 약 1.355배 높습니다.,최근 거래량은 전체 평균 거래량에 비해 약간 감소하고 있습니다. 전체 평균 거래량은 약 3.83이고 최근 3개월의 평균 거래량은 약 3.67입니다. 최근 거래량이 전체 거래량 비해 약간 감소하고 있습니다.,"최근 가격은 하락하고 있습니다."
aYO6d,35,아파트의 평균 가격은 16억2003 만원입니다.,아파트의 상위 30% 층의 평균 가격은 약 16억 2천만 원입니다.,아파트의 하위 30% 층의 평균 가격은 대략 15억4106 만원입니다.,가장 최근의 거래 가격은 평균 가격보다 약 3003만원 낮습니다. 이는 평균 가격의 약 98.15%에 해당합니다.,최고 가격은 172000이며 가장 최신의 거래는 최고 가격보다 13000 낮습니다. 가장 최신의 거래와 최고 가격의 비율은 약 0.925입니다.,최저 가격은 128400.0만원이고 가장 최신의 거래와의 가격 차이는 30600.0만원이다. 추가로 가장 최신의 거래가 최저 가격보다 약 23.83% 높다.,최근 거래량이 증가하고 있습니다. 이 결론에 이르게 된 이유는 최근 기간의 평균 거래량이 전체 기간의 평균 거래량보다 높기 때문입니다. 이는 거래량이 증가하는 추세를 나타냅니다.,최근에 가격이 감소했습니다. 이는 가장 최근의 날짜에 대한 가격이 그 이전 날짜의 가격보다 낮기 때문입니다.
aAh37,18,아파트의 평균 가격은 11억814 만원입니다.,아파트의 상위 30% 층의 평균 가격은 약 11억3000 만원입니다.,아파트의 하위 30% 층의 평균 가격은 9억3000 만원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 1억7814 만원 낮습니다. 가장 최신의 거래 가격은 평균 가격의 약 83.9%입니다.,최대 가격은 13억 5000 만원입니다. 가장 최근의 가격은 9억 3000 만원으로 이는 최대 가격보다 4억 2000 만원 낮습니다. 가장 최근의 가격과 최대 가격의 비율은 대략 0.69입니다.,최저 가격은 8억 8000만원이고 가장 최신의 거래의 가격은 9억 3000만원입니다. 이 두 가격의 차이는 5000만원이며 최신 거래의 가격은 최저 가격보다 약 1.057배 높습니다.,최근 거래량은 전체 거래량에 비해 감소하고 있습니다. 이는 최근 거래량이 평균 거래량인 4.2보다 낮은 4로 나타났기 때문입니다.,"최근 가격의 방향성은 하락세입니다. 가장 최근의 가격들을 비교했을 때, 가격이 12억 7000 만원에서 12억 800 만원으로 떨어졌다가 약간 상승하여 12억 1000 만원이 되었고, 다시 상승하여 12억 4000 만원이 되었지만, 마지막에는 11억으로 떨어졌습니다. 가격이 일정하게 변동하고 있지만, 전반적인 추세는 하락입니다."
aAh37,25,아파트의 평균 가격은 16억5326 만원입니다.,아파트의 상위 30% 층의 평균 가격은 17억 4천만 원입니다.,아파트의 하위 30% 층의 평균 가격은 약 16억1172 만원입니다.,가장 최근의 가격은 평균 가격보다 8673 만원 높습니다. 가장 최근의 가격과 평균 가격의 비율은 대략 1.05입니다.,최고 가격은 209000.0만원입니다. 가장 최근의 거래 가격은 최고 가격보다 35000.0만원 낮습니다. 가장 최근의 거래 가격은 최고 가격에 대해 대략 0.83의 비율입니다.,최저 가격은 12억6500 만원이고 가장 최신의 거래 가격은 17억4000 만원입니다. 이는 최저 가격에 비해 약 1.3754940711462451배 높습니다.,최근 거래량은 3이고 전체 평균 거래량은 4.0입니다. 따라서 최근 거래량은 전체 평균 거래량보다 낮습니다. 이는 최근 거래량이 감소하고 있다는 것을 의미합니다.,최근에 가격이 상승했습니다. 이는 가장 최근의 행 (행 0)의 가격이 그 다음으로 최근의 행 (행 1)의 가격보다 높기 때문입니다.
aAh37,32,아파트의 평균 가격은 19억5161 만원입니다.,아파트의 상위 30% 층의 평균 가격은 20억7000 만원입니다.,아파트의 하위 30% 층의 평균 가격은 대략 19억6794 만원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 4838 만원 높습니다. 가장 최신의 거래 가격은 평균 가격의 약 1.025배입니다.,가장 최근의 거래 가격은 최고 가격보다 3억 7000 만원 낮습니다. 비율은 대략 0.185로 이는 가장 최근의 가격이 최고 가격보다 약 18.5% 낮다는 것을 의미합니다.,가장 최근의 거래 가격은 최저 가격보다 4억2000 만원 높고 비율은 대략 1.27입니다.,최근 거래량은 감소하고 있습니다. 이는 최근 거래량(2)이 평균 거래량(약 7.33)보다 낮기 때문입니다.,최근 가격의 방향성은 하향입니다. 이는 최근 가격(20억 원)이 과거 가격(18억 7000 만원)보다 높기 때문입니다.
aAh37,33,아파트의 평균 가격은 19억6555 만원입니다.,아파트의 상위 30% 층의 평균 가격은 대략 19억9412 만원입니다.,아파트의 하위 30% 층의 평균 가격은 약 19억4386 만원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 1억2944 만원 높습니다. 가장 최신 거래 가격과 평균 가격의 비율은 약 1.07입니다.,최고 가격에 비해 가장 최신의 거래의 가격은 2억8500 만원 낮고 이는 최고 가격의 약 11.97%에 해당합니다.,최저 가격은 15억3000 만원입니다. 가장 최신의 거래 가격은 20억9500 만원으로 최저 가격보다 1.369281045751634배 높습니다.,최근 거래량은 전체적인 거래량에 비해 약간 감소하는 추세를 보이고 있습니다. 이는 최근 3개월의 평균 거래량(약 13.67)이 전체 평균 거래량(13.75)보다 약간 낮기 때문입니다.,최근 가격은 약간 상승한 추세를 보이고 있습니다. 이는 최근 데이터(하위 행)의 평균 가격이 19억 9800 만원인 반면 이전 데이터(상위 행)의 평균 가격이 19억 8500 만원이기 때문입니다.
aAh37,38,아파트의 평균 가격은 22억1155 만원입니다.,아파트의 상위 30% 층의 평균 가격은 22억9500 만원입니다.,아파트의 하위 30% 층의 평균 가격은 22억9000 만원입니다.,"가장 최신의 거래 가격은 평균 가격보다 약 1억844 만원 더 높으며, 평균 가격 대비 약 4.9% 더 높습니다.",최대 가격은 23억2000 만원입니다. 가장 최근의 거래는 최대 가격보다 2억500 만원 낮습니다. 가장 최근 가격과 최대 가격의 비율은 대략 0.919입니다.,최소 가격은 19억5000 만원입니다. 가장 최근의 가격은 23억2000 만원으로 최소 가격보다 3억7000 만원 높습니다. 가장 최근의 가격은 최소 가격의 약 1.19배입니다.,"최근 거래량은 1로 평균 거래량인 약 2.83보다 낮습니다. 이는 최근 거래량이 전체적인 거래량에 비해 감소하고 있음을 나타냅니다.",최근 가격은 증가하는 추세입니다. 이는 가장 최신의 가격이 이전 가격들보다 높기 때문에 이런 결론을 내릴 수 있습니다.
aAh37,42,아파트의 평균 가격은 25억1277 만원입니다.,상위 30% 층의 아파트 평균 가격은 약 24억 9천만 원입니다.,아파트의 하위 30% 층의 평균 가격은 24억8천만 원입니다.,"가장 최근의 거래 가격은 평균 가격보다 약 1억723 만원 높습니다. 또한 가장 최근의 가격은 평균 가격에 비해 약 1.04, 즉 평균 가격보다 약 4% 높습니다.",가장 높은 가격은 29억1000 만원입니다. 가장 최근의 거래 가격은 26억2000 만원으로 가장 높은 가격보다 2억9000 만원 낮습니다. 가장 최근의 거래 가격은 가장 높은 가격의 약 0.9배입니다.,최저 가격은 19억470 만원이고 최신 거래의 가격은 26억2000 만원입니다. 최신 거래의 가격은 최저 가격보다 약 1.376배 높습니다.,최근 거래량은 2로 평균 거래량인 약 2.33보다 약간 낮습니다. 이는 최근 거래량이 전체적인 거래량에 비해 감소하고 있음을 나타냅니다.,"우리가 보고 있는 부분집합에서 가장 최근의 가격이 가장 오래된 가격보다 높기 때문에 최근의 가격 추세는 다소 상승하는 것으로 보인다. 다만 가격이 등락을 거듭하고 있어 뚜렷한 추세를 판단하기는 어렵다."
9YO50,24,아파트의 평균 가격은 14억1546 만원입니다.,아파트의 상위 30% 층의 평균 가격은 14억4350 만원입니다.,아파트의 하위 30% 층의 평균 가격은 대략 13억 8천 4백 70만 3천 7백 4원입니다.,"가장 최근의 가격은 평균 가격보다 약 1억1546 만원 낮습니다. 가장 최근의 가격은 평균 가격의 약 0.918, 즉 91.8%입니다.",최대 가격은 17억0 만원입니다. 가장 최근의 거래 가격은 13억0 만원으로 최대 가격보다 4억0 만원 낮습니다. 가장 최근의 거래 가격과 최대 가격의 비율은 대략 0.765입니다.,최저 가격은 110000.0 만원이고 가장 최신의 거래는 최저 가격보다 20000.0 만원 높습니다. 또한 가장 최신의 거래 가격은 최저 가격의 약 1.18배입니다.,최근 거래량이 증가하고 있습니다. 이유는 최근 기간의 거래량이 전체 기간의 평균 거래량보다 높기 때문입니다.,최근 가격은 하락하고 있습니다. 이는 가장 최근의 데이터(첫 번째 행)에서 가격이 이전 데이터(마지막 행)보다 낮기 때문입니다.
