apt_code,category,review
aAh37,0,대단지라서 안에 모든 편의시설이 다 있어요
aAh37,1,저녁늦게 단지내 산책도 용이합니다! [장점]-문정역이 지하로 연결되어 있어 날씨 영향 안받음
aAh37,2,"-3단지는 스타벅스, 커피빈, 파바 바로 앞에 있어서 좋음."
aAh37,3,시설 관리를 꾸준히 한다.
aAh37,4,엘리베이터에 타는 애기들이 인사를 잘해서 나도 같이 하게 된다.
aAh37,5,단지 내에서 러닝 하기 좋음
aAh37,6,-사우나 이용 좋음.[단점]-아직까지는 없음
aAh37,7,딱히 찾자면 분리수거 배출을 매일 할 수 없는 점. 어제 저녁에 잠깐 산책하고 방금 산책 했는데
aAh37,0,단풍구경에 시간에 돈 쓸 필요 없이 단지내만 다녀도 너무 좋습니다.^^~ 
aAh37,1,산책하기 좋고아이키우기에는 정말 좋아요 주민들이 조용조용하고 매너있어요.
aAh37,2,해누리초중도 초신축에 아이들 순하고 공부잘하고 만족해요 
aAh37,3,"강아지 산책 좋구, 저녁에 6-7시쯤 강아지들끼리 서로 인사하고.. ㅋㅋ 산책하기 최고 단지 내에서 모든 것이 해결 가능한 핼리오시티 짱! "
aAh37,4,"단지가 워낙 넓어서 아이 키우기 좋고, 근처에 석촌시장 있는 게 장볼 때 생각했던 것 보다 훨씬 유용하더라구요"
aAh37,5,이래저래 신혼에 살기 좋은 곳입니다. 
aAh37,6,노인친화아파트애들 뛰어노는게 소음이라고 민원 때려서 멀쩡한 인조잔디 시설에서 캐치볼도 못하고 그 큰 단지에서 애들 모여 축구할 곳도 없음.
aAh37,7,잔디밭 위에 올라가는 것은 왜이리 난리 법석인지 그냥 여긴 놀이터랑 다 뒤엎고 그리 원하시는 조경시설 빵빵하게 만들어드려야 단지가 커 운동하고 아이 기르기 좋아요
aAh37,0,조경이 너무 잘되어있어 사계절의 변화를 잘 느끼고 즐길 수 있어요 지난번 슈퍼블루문(새벽)을 집에서 봤습니다
aAh37,1,그리고 소나기 뒤 헬리오를 배경으로 이런 멋진 구름이^^~
aAh37,2,대단지의 장점이 매우 큰 아파트라고 생각합니다. 
aAh37,3,무려 골드 등급인..잠실 헬리오시티는 좋은아파트입니다 
aAh37,4,"타지역 무량판 구조가 걱정되어서확인해보니 무량판 구조 아니고,벽식 구조로 되어있네요 "
aAh37,5,장점: 세대수가 많다
aAh37,6,단점: 세대수가 많다
