apt_code,category,review
1Xa59,6,한강 가깝고 쾌적해서 아이들 키우기 좋아요
1Xa59,4,살기좋아요 시장도 가깝고 학군도 좋고 조용하고 한강도 가깝고
1Xa59,6,교통 편리하고 한강공원가깝고 초중고가 다 단지안에 있어서 좋아요
1Xa59,7,윗집 층간소음이 심했던 거 빼면 역세권에 교통도 좋고 좋아요
1Xa59,5,교통도 너무 편하고 롯데에 가면 왠만한 전국 맛집은 다 들어와있어서 좋아요
1Xa59,1,근데 다른아파트들에 비해서 조경관리는 조금 미흡한듯 ㅜㅜ
1Xa59,5,"잠실역, 잠실새내역, 한강 다 가깝고 상가도 깨끗하고 좋아요"
1Xa59,1,위치가 최고의 장점
1Xa59,1,2009년 이사와서 인프라 접근성 등 만족합니다
1Xa59,5,한강도 가깝고 교통도 좋은데 예민한 아랫집 주민 만나면 정말 힘들어요
1Xa59,6,초중고 단지내 위치하고 교육환경 교통 등 모든 면에서 우수합니다
1Xa59,1,잠실은 회복속도가 그 어디 지역보다 빠르네요.
1Xa59,1,그만큼 많은 사람들이 잠실로 들어가고 싶어한다는 의미기도 하죠..
1Xa59,1,살기좋아여 비오면 개구리 볼수 있습니다~
1Xa59,5,살기 좋아요. 기본적으로 교통도 편하고 주변 생활 환경은 최고입니다
1Xa59,1,쾌적하게 살았어요.
1Xa59,1,다만 한강변쪽 방이 겨울에 너무 추워서 아무리 난방을 돌려도 올라가지 않아 잠을 못 잤습니다.
1Xa59,1,정말 살기 좋습니다.
1Xa59,4,공원 상권 모든걸 갖춘 동네입니다
1Xa59,1,단지내 정원 느낌이고 한강가깝고..살기 편합니다
